compound,sentence_type,Meaning,sentence,pic_sentence
elbow grease,idiomatic,Hard physical work or effort.,It took a lot of elbow grease to get the old engine running again.,"A hardworking mechanic intensely cleaning an old, rusty engine in a garage, surrounded by tools, with sweat visible on their brow, symbolizing the effort and hard work required."
elbow grease,literal,Actual grease or lubricant applied to an elbow joint.,The mechanic applied elbow grease to the joint to ensure it moved smoothly.,"A mechanic in a workshop applying a lubricant to an elbow joint, with a visible grease canister nearby, focused on the precise application process."
night owl,idiomatic,A person who stays up late at night and is more active during nighttime.,"It's a constant battle for us, as he is a morning person and I am a night owl, so I find that going to sleep at 9.30 really cuts out the best hours.","A cozy living room at night, with a person sitting comfortably on a couch under a warm lamp, surrounded by books and a laptop, while the rest of the house is dark and quiet, symbolizing nighttime activity."
night owl,literal,A species of owl that is active during the night.,"The researchers observed a night owl perched on a branch, calling softly to its mate under the moonlight.","A serene night scene in a dense forest, with a moonlit sky. A nocturnal owl is perched on a tree branch, its feathers illuminated softly by the moonlight, as it looks out into the night."
heart of gold,idiomatic,A very kind and generous nature.,Even the somewhat seedy failed private eye has a heart of gold (and a bad hairstyle).,"A modest private investigator's office with a quirky character, wearing a trench coat and messy hair, helping a troubled client for free, symbolizing kindness beneath an unpolished exterior."
heart of gold,literal,A physical heart made of gold or resembling gold.,"The artisan crafted a pendant with a tiny heart of gold, embedded with intricate designs.","A finely crafted golden heart-shaped pendant, intricately designed with filigree patterns, placed on a velvet background under soft lighting, highlighting its shine and elegance."
agony aunt,idiomatic,A person or organization that offers advice and help to those with personal problems.,"ESA's Space Weather Office is like Europe's stellar agony aunt, offering forecasts, advice and information for any organisation, individual or institution vulnerable to space phenomena.","A cosmic-themed office setup with a person or representative at a desk, surrounded by futuristic monitors displaying space weather data, while concerned individuals and organizations line up or communicate remotely, seeking guidance."
agony aunt,literal,"A woman who gives advice or solves problems for others, often published in a column or media platform.","The agony aunt sat at her desk, thoughtfully composing replies to the readers' heartfelt letters seeking her advice.","A warm, cozy room with a thoughtful woman seated at a wooden desk. Piles of letters and an old-fashioned typewriter are in front of her, with framed reader letters and newspaper clippings on the walls, symbolizing her role as a columnist."
shrinking violet,idiomatic,A person who is very shy or modest.,"This aged, rich wine is no shrinking violet with its with peppery, meaty focus and its broad yet tannic palatal impressions.","A bold, rich glass of red wine placed in an elegant setting, surrounded by elements such as ripe grapes and spices, symbolizing strength and confidence, contrasting with the concept of shyness."
shrinking violet,literal,A violet plant that is physically shrinking or withering.,The shrinking violet in the garden was drooping due to the lack of water and sunlight.,"A close-up of a violet plant in a garden, with its leaves and petals drooping visibly, surrounded by dry soil and fading sunlight, emphasizing the effects of neglect."
